val_loss,val_accuracy,val_precision,val_recall,val_f1_score,val_auroc,val_avg_precision,val_true_positives,val_false_positives,val_true_negatives,val_false_negatives,epoch,step,train_loss,train_accuracy,train_precision,train_recall,train_f1_score,train_auroc,train_avg_precision,train_true_positives,train_false_positives,train_true_negatives,train_false_negatives,test_loss,test_accuracy,test_precision,test_recall,test_f1_score,test_auroc,test_avg_precision,test_true_positives,test_false_positives,test_true_negatives,test_false_negatives
0.8409904837608337,0.31119921803474426,0.0157383494079113,0.06511397659778595,0.025006361305713654,0.04914766550064087,nan,0.06719524413347244,4.12249755859375,1.7999999523162842,0.009514370933175087,0,385,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,385,0.7363833785057068,0.553108811378479,0.5204663276672363,0.5677893161773682,0.48872509598731995,0.6101754903793335,nan,1.6606217622756958,1.3419688940048218,1.6580311059951782,1.3393782377243042,,,,,,,,,,,
0.550108015537262,0.7460852265357971,0.021060455590486526,0.03776015713810921,0.02578791044652462,0.048790886998176575,nan,0.039246778935194016,1.4856293201446533,4.436868190765381,0.037462834268808365,1,771,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,771,0.688521683216095,0.590673565864563,0.5628669261932373,0.5771156549453735,0.5249485969543457,0.6547855138778687,nan,1.7357512712478638,1.1917098760604858,1.8082901239395142,1.2642487287521362,,,,,,,,,,,
1.471011757850647,0.13458870351314545,0.013944493606686592,0.07076313346624374,0.023160118609666824,0.04945985600352287,nan,0.07314172387123108,5.188107013702393,0.7343904972076416,0.0035678890999406576,2,1157,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,1157,0.6650422811508179,0.6273747682571411,0.6207684874534607,0.6018998026847839,0.5613186359405518,0.70380699634552,nan,1.8108807802200317,1.046632170677185,1.953367829322815,1.1891192197799683,,,,,,,,,,,
0.4536026418209076,0.8156590461730957,0.01751238852739334,0.02675916813313961,0.01996035687625408,0.051332987844944,nan,0.027948463335633278,1.056689739227295,4.86580753326416,0.04876114800572395,3,1543,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,3,1543,0.6425771117210388,0.6403281688690186,0.6202073097229004,0.634196937084198,0.5788416862487793,0.7031088471412659,nan,1.9119170904159546,1.0699481964111328,1.9300518035888672,1.0880829095840454,,,,,,,,,,,
1.2508856058120728,0.33072349429130554,0.01650148071348667,0.06600594520568848,0.025918155908584595,0.05183843895792961,nan,0.06838453561067581,4.0065412521362305,1.9159563779830933,0.00832507386803627,4,1929,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,4,1929,0.6203882694244385,0.6606217622756958,0.6488772630691528,0.6525907516479492,0.6035797595977783,0.7296059131622314,nan,1.9740933179855347,1.0103627443313599,1.9896372556686401,1.0259066820144653,,,,,,,,,,,
1.4796172380447388,0.16818632185459137,0.014271549880504608,0.0689791887998581,0.023375321179628372,0.049667976796627045,nan,0.07135777920484543,4.984737396240234,0.9377601742744446,0.005351833533495665,5,2315,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5,2315,0.6012611985206604,0.686096727848053,0.6656305193901062,0.6768568158149719,0.6237287521362305,0.7651627063751221,nan,2.03108811378479,0.9145077466964722,2.0854921340942383,0.9689119458198547,,,,,,,,,,,
0.5555208921432495,0.7229930758476257,0.0186323095113039,0.035678889602422714,0.023429138585925102,0.04966798797249794,nan,0.03686818480491638,1.6220020055770874,4.300495624542236,0.039841428399086,6,2701,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,6,2701,0.5752787590026855,0.7003453969955444,0.7004317045211792,0.6977115273475647,0.6524500846862793,0.7952074408531189,nan,2.080310821533203,0.878238320350647,2.1217615604400635,0.9196891188621521,,,,,,,,,,,
0.6575500965118408,0.6538156867027283,0.019217045977711678,0.04281466826796532,0.025094149634242058,0.051407329738140106,nan,0.044003963470458984,2.043607473373413,3.878890037536621,0.032705649733543396,7,3087,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,7,3087,0.5347231030464172,0.7348877191543579,0.7484887838363647,0.7390328645706177,0.7009414434432983,0.8159542679786682,nan,2.1839377880096436,0.7746114134788513,2.225388526916504,0.8160621523857117,,,,,,,,,,,
0.5387822389602661,0.7347869277000427,0.019841426983475685,0.03478691726922989,0.023627353832125664,0.04812191054224968,nan,0.0362735390663147,1.5506441593170166,4.371853351593018,0.04043607413768768,8,3473,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,8,3473,0.4823765456676483,0.7685664892196655,0.7694731950759888,0.7692574858665466,0.7329127788543701,0.8580816388130188,nan,2.305699586868286,0.6943005323410034,2.305699586868286,0.6943005323410034,,,,,,,,,,,
0.2752053737640381,0.9039643406867981,0.01813676953315735,0.021110009402036667,0.019028741866350174,0.048909805715084076,nan,0.022596631199121475,0.521902859210968,5.400594711303711,0.054112982004880905,9,3859,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,9,3859,0.4727592468261719,0.7651122808456421,0.765285074710846,0.7681779265403748,0.7253690958023071,0.8901054263114929,nan,2.3082902431488037,0.7176165580749512,2.282383441925049,0.6917098164558411,,,,,,,,,,,
0.4338686168193817,0.8015857338905334,0.018830524757504463,0.031219027936458588,0.022378593683242798,0.04867195338010788,nan,0.032705649733543396,1.146085262298584,4.776412487030029,0.044003963470458984,10,4245,,,,,,,,,,,,,,,,,,,,,,
